TCGA-18-3406-01A,TCGA-18-3407-01A,TCGA-18-3408-01A,TCGA-18-3409-01A,TCGA-18-3410-01A,TCGA-18-3411-01A,TCGA-18-3412-01A,TCGA-18-3414-01A,TCGA-18-3415-01A,TCGA-18-3416-01A,TCGA-18-3417-01A,TCGA-18-3419-01A,TCGA-18-3421-01A,TCGA-18-4083-01A,TCGA-18-4086-01A,TCGA-18-4721-01A,TCGA-18-5592-01A,TCGA-18-5595-01A,TCGA-21-1070-01A,TCGA-21-1071-01A,Gene_ID
0.579276710828628,1.473111504737,0.166972472410695,0.88721330295123,0.732225776875346,1.00898878322725,0.854394677753101,1.74317024834689,0.830904309802059,1.06646811729821,0.430927517404869,1.51121500147097,0.612682759077084,1.72084754980768,0.738551686520232,0.633291700463903,1.67545464774438,1.26567692517217,1.21778907075549,1.12822740247183,AATK
1.14182512970003,3.19153106771406,2.60819419239216,2.83616652363582,1.31776713851222,0.85287777405358,3.31672502157875,2.89530262133331,0.988412025724788,1.85710516268533,1.15205358688785,2.37077806274087,1.20620559846117,1.01728056767068,2.44599149091444,1.70376517879341,0.53953107147415,2.32109108900847,1.93160742230968,1.25773480212865,ABAT
2.91905399425502,4.45357025538904,5.28132361997346,4.67921546385257,4.5479309762937,3.79149112132661,4.3650275798014,5.31422521663099,4.82242424377525,4.96867600798441,2.65099426933805,3.79430148599299,3.8644635117144,3.48375129783271,4.24971838055438,5.51011693596115,4.25150702735593,3.67179154848281,4.4580866624427,5.83818030866028,ABCA1
1.11909052403687,0.737167557334839,1.4998331339215,0.183073576214852,1.14906421771554,0.102322191196686,0.190930859562615,0.371726121906207,0.417379975973023,2.00086535744325,0.111432005361987,0.349704961708538,0.298189070141322,2.13802804476676,0.958063131016612,0.307078738539815,0.232292362089149,0.13119435170845,0.595026184065854,0.671565126171053,ABCA10
0.704075164376696,0.929866727754094,0.852158683663038,1.26945212566395,0.745796658010383,0.288653863605169,0.678522676883494,1.31202615744334,0.507109593781773,1.35078010073486,0.255077682005451,1.24938465863022,1.36960607003184,1.8835817183293,1.01977306904003,0.642840174786685,0.359970888336751,0.722378585758322,0.651958653065411,0.878764571267355,ABCA11P
2.46537376053094,2.53249151861265,4.13053555675619,3.00254051184058,3.49550330212231,1.9747862581837,2.71114244954435,2.81241607665794,1.43456151187261,2.14015695255418,2.94895587123934,5.97059370659318,2.17287150035228,1.64671566107735,1.52676995135482,3.94855412733788,2.45309610057291,4.30653931790839,0.96820136978834,4.6930631471469,ABCA12
1.46472053761597,4.04486619685428,4.54578307959061,0.544485386236091,1.97643696017388,4.30999831264982,3.40202630701587,3.99277749289524,4.67275344706046,2.42320164970806,1.96080822538898,0.698396303325205,3.74874029880258,5.47806902954702,3.77686199359969,3.69657255613315,3.34353574032486,1.61772163640245,3.09519867155809,5.299819774562,ABCA13
1.30106080577982,0.247806018219219,0.348685669334387,0.428571222085267,1.67644795955089,0.210014737709273,0.0352015957185661,0.591870870063334,0.177726482932068,0.165944087770598,0.219338922698467,0.837135913923183,0.0536674490388253,0.294547233895515,0.162081103382375,0.0309716424120755,0.28071881361801,1.57109427554091,0.366364182945645,0.87837222538343,ABCA17P
0.926303111861394,3.55302866989387,1.97676687404896,3.15705988376614,3.82826598763929,2.13671638448831,2.10178452416693,3.44064662252151,2.95484770300517,3.72824706552355,2.90600547118419,3.65783433297285,1.63677540691902,3.91499497171832,3.53043286917769,2.78186325736185,4.45876257764685,4.35017189681346,2.5492255754524,4.06280385968986,ABCA2
1.6641187073388,4.82151124407775,3.6186967677606,4.25719169826913,7.11787578375052,1.71826297695093,2.3107181967844,1.71316790300937,2.08144189426962,0.912879758139804,4.08965915692608,3.10001889545446,3.15838550400859,2.34141652447872,2.07936104275338,3.08720822554108,1.29113201200875,5.39306948913553,4.47101182856921,2.8938863788697,ABCA3
0.0835197488201729,0.575312330687437,0.287826867285081,0.699729293386671,0.670477804144288,4.72720709690609,2.95715313005956,1.7370810051531,2.87809751976448,0.399116393444799,0.130535556756188,1.52205574916096,0.196229325794221,1.61155012306924,2.36036427654347,1.13711000780235,4.37588046856206,7.35975746547898,0.509138415717711,6.97498696517506,ABCA4
2.53331415656679,2.49779117463948,4.26299683516123,2.20873573883257,3.05983978671428,2.72205064337887,1.83143139574993,2.55941839174184,2.83558053453591,4.58727496971858,1.38956681176273,2.27634777302029,2.27539449620292,5.26336874172251,3.7152783922911,2.80180017120877,3.02757872747428,2.6556494968785,2.73664816633887,4.17031768164662,ABCA5
1.99102744700066,1.10915993896111,1.14548182226552,1.11609855223658,0.624989873098471,0.618050670053344,0.631988957175405,1.19320401398388,0.710437276906914,1.26837450461891,1.21698248926877,0.583422804693596,0.556208671739585,0.98564614971725,0.976950126940956,0.851599143235146,0.632640475865632,0.421155960662223,0.737081005153099,0.950916270644062,ABCA6
1.55104837330157,2.7405822217476,1.02849843011823,1.2324151707754,2.76409132949331,2.34073316058773,1.76812079185329,3.4743581628754,1.86647282971585,3.48525936177669,1.71935870030414,4.86393845042397,1.68396588191703,3.8734588777622,2.04823618565285,1.71642028620024,3.00649551685946,3.06958187975184,3.45727908647152,2.53635135799548,ABCA7
0.640435836619588,1.0596321598821,1.27154519848569,1.78001607009367,0.644686942884343,0.292074949977542,0.503959270530356,0.715805532559152,0.400975043673087,0.210014737709273,0.782240799936093,0.112099579776235,0.401630466584741,0.520346811519401,0.713343895085329,0.896000530743461,0.334682679935721,0.958805563639465,0.466339987979475,0.248534836138679,ABCA8
0.634221511685112,1.09288396567848,1.16652264432811,1.0401910718383,0.360195694732358,0.349365277594213,0.660746112752018,0.394843361530861,0.520145626880826,1.45885442517455,0.291957116429807,0.729531018385868,0.151079473028812,1.29789571422805,0.995375973474552,0.972692654004265,0.498761465671852,0.299244657796073,0.574440640864134,0.850479410915246,ABCA9
0.59569460683892,0.0294175468350917,0.412076938832687,0,0.291721420457891,0,0.537942090749452,0.477573719174233,0.109159938961111,0.851039385708725,0.0636409926426959,0.898866172083597,0,1.05359794668829,0.253142152564187,0.465713319595964,0.401739674793482,0,0.0579700686373299,0.56530470802725,ABCA9-AS1
